name,value,year,day
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Date:,11 May 2021,2021,4
Start time:,12:30 ,2021,4
Avg. speed winner:,37.571 km/h,2021,4
Race category:,ME - Men Elite,2021,4
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Departure:,Piacenza,2021,4
Date:,11 May 2021,2021,4
Start time:,12:30 ,2021,4
Avg. speed winner:,37.571 km/h,2021,4
Race category:,ME - Men Elite,2021,4
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Departure:,Piacenza,2021,4
Arrival:,Sestola,2021,4
Date:,11 May 2021,2021,4
Start time:,12:30 ,2021,4
Avg. speed winner:,37.571 km/h,2021,4
Race category:,ME - Men Elite,2021,4
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Departure:,Piacenza,2021,4
Arrival:,Sestola,2021,4
Race ranking:,12,2021,4
Date:,11 May 2021,2021,4
Start time:,12:30 ,2021,4
Avg. speed winner:,37.571 km/h,2021,4
Race category:,ME - Men Elite,2021,4
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Departure:,Piacenza,2021,4
Arrival:,Sestola,2021,4
Race ranking:,12,2021,4
Startlist quality score:,885,2021,4
Date:,11 May 2021,2021,4
Start time:,12:30 ,2021,4
Avg. speed winner:,37.571 km/h,2021,4
Race category:,ME - Men Elite,2021,4
Distance:,187 km,2021,4
Points scale:,GT.B.Stage,2021,4
Parcours type:,p2,2021,4
ProfileScore:,252,2021,4
Vert. meters:,3138,2021,4
Departure:,Piacenza,2021,4
Arrival:,Sestola,2021,4
Race ranking:,12,2021,4
Startlist quality score:,885,2021,4
Won how:,2.5 km solo,2021,4
Date:,12 May 2021,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Departure:,Modena,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Departure:,Modena,2021,5
Arrival:,Cattolica,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Departure:,Modena,2021,5
Arrival:,Cattolica,2021,5
Race ranking:,12,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Departure:,Modena,2021,5
Arrival:,Cattolica,2021,5
Race ranking:,12,2021,5
Startlist quality score:,885,2021,5
Date:,12 May 2021,2021,5
Start time:,13:20 ,2021,5
Avg. speed winner:,42.993 km/h,2021,5
Race category:,ME - Men Elite,2021,5
Distance:,177 km,2021,5
Points scale:,GT.B.Stage,2021,5
Parcours type:,p1,2021,5
ProfileScore:,0,2021,5
Vert. meters:,363,2021,5
Departure:,Modena,2021,5
Arrival:,Cattolica,2021,5
Race ranking:,12,2021,5
Startlist quality score:,885,2021,5
Won how:,Sprint of large group,2021,5
Date:,13 May 2021,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Departure:,Grotte di Frasassi,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Departure:,Grotte di Frasassi,2021,6
Arrival:,Ascoli Piceno (San Giacomo),2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Departure:,Grotte di Frasassi,2021,6
Arrival:,Ascoli Piceno (San Giacomo),2021,6
Race ranking:,12,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Departure:,Grotte di Frasassi,2021,6
Arrival:,Ascoli Piceno (San Giacomo),2021,6
Race ranking:,12,2021,6
Startlist quality score:,885,2021,6
Date:,13 May 2021,2021,6
Start time:,12:55 ,2021,6
Avg. speed winner:,37.229 km/h,2021,6
Race category:,ME - Men Elite,2021,6
Distance:,160 km,2021,6
Points scale:,GT.B.Stage,2021,6
Parcours type:,p5,2021,6
ProfileScore:,221,2021,6
Vert. meters:,3595,2021,6
Departure:,Grotte di Frasassi,2021,6
Arrival:,Ascoli Piceno (San Giacomo),2021,6
Race ranking:,12,2021,6
Startlist quality score:,885,2021,6
Won how:,3.3 km solo,2021,6
Date:,14 May 2021,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Departure:,Notaresco,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Departure:,Notaresco,2021,7
Arrival:,Termoli,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Departure:,Notaresco,2021,7
Arrival:,Termoli,2021,7
Race ranking:,12,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Departure:,Notaresco,2021,7
Arrival:,Termoli,2021,7
Race ranking:,12,2021,7
Startlist quality score:,885,2021,7
Date:,14 May 2021,2021,7
Start time:,13:00 ,2021,7
Avg. speed winner:,38.483 km/h,2021,7
Race category:,ME - Men Elite,2021,7
Distance:,181 km,2021,7
Points scale:,GT.B.Stage,2021,7
Parcours type:,p3,2021,7
ProfileScore:,37,2021,7
Vert. meters:,1725,2021,7
Departure:,Notaresco,2021,7
Arrival:,Termoli,2021,7
Race ranking:,12,2021,7
Startlist quality score:,885,2021,7
Won how:,Sprint of large group,2021,7
Date:,15 May 2021,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Departure:,Foggia,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Departure:,Foggia,2021,8
Arrival:,Guardia Sanframondi,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Departure:,Foggia,2021,8
Arrival:,Guardia Sanframondi,2021,8
Race ranking:,12,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Departure:,Foggia,2021,8
Arrival:,Guardia Sanframondi,2021,8
Race ranking:,12,2021,8
Startlist quality score:,885,2021,8
Date:,15 May 2021,2021,8
Start time:,12:50 ,2021,8
Avg. speed winner:,41.332 km/h,2021,8
Race category:,ME - Men Elite,2021,8
Distance:,170 km,2021,8
Points scale:,GT.B.Stage,2021,8
Parcours type:,p3,2021,8
ProfileScore:,133,2021,8
Vert. meters:,3085,2021,8
Departure:,Foggia,2021,8
Arrival:,Guardia Sanframondi,2021,8
Race ranking:,12,2021,8
Startlist quality score:,885,2021,8
Won how:,2.2 km solo,2021,8
Date:,16 May 2021,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Departure:,Castel di Sangro,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Departure:,Castel di Sangro,2021,9
Arrival:,Campo Felice (Rocca di Cambio),2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Departure:,Castel di Sangro,2021,9
Arrival:,Campo Felice (Rocca di Cambio),2021,9
Race ranking:,12,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Departure:,Castel di Sangro,2021,9
Arrival:,Campo Felice (Rocca di Cambio),2021,9
Race ranking:,12,2021,9
Startlist quality score:,885,2021,9
Date:,16 May 2021,2021,9
Start time:,12:25 ,2021,9
Avg. speed winner:,38.167 km/h,2021,9
Race category:,ME - Men Elite,2021,9
Distance:,158 km,2021,9
Points scale:,GT.B.Stage,2021,9
Parcours type:,p3,2021,9
ProfileScore:,196,2021,9
Vert. meters:,3503,2021,9
Departure:,Castel di Sangro,2021,9
Arrival:,Campo Felice (Rocca di Cambio),2021,9
Race ranking:,12,2021,9
Startlist quality score:,885,2021,9
Won how:,0.2 km solo,2021,9
Date:,17 May 2021,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Departure:,L'Aquila,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Departure:,L'Aquila,2021,10
Arrival:,Foligno,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Departure:,L'Aquila,2021,10
Arrival:,Foligno,2021,10
Race ranking:,12,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Departure:,L'Aquila,2021,10
Arrival:,Foligno,2021,10
Race ranking:,12,2021,10
Startlist quality score:,885,2021,10
Date:,17 May 2021,2021,10
Start time:,13:55 ,2021,10
Avg. speed winner:,43.68 km/h,2021,10
Race category:,ME - Men Elite,2021,10
Distance:,139 km,2021,10
Points scale:,GT.B.Stage,2021,10
Parcours type:,p2,2021,10
ProfileScore:,60,2021,10
Vert. meters:,1460,2021,10
Departure:,L'Aquila,2021,10
Arrival:,Foligno,2021,10
Race ranking:,12,2021,10
Startlist quality score:,885,2021,10
Won how:,Sprint of large group,2021,10
Date:,19 May 2021,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Departure:,Perugia,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Departure:,Perugia,2021,11
Arrival:,Montalcino,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Departure:,Perugia,2021,11
Arrival:,Montalcino,2021,11
Race ranking:,12,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Departure:,Perugia,2021,11
Arrival:,Montalcino,2021,11
Race ranking:,12,2021,11
Startlist quality score:,885,2021,11
Date:,19 May 2021,2021,11
Start time:,13:10 ,2021,11
Avg. speed winner:,40.179 km/h,2021,11
Race category:,ME - Men Elite,2021,11
Distance:,162 km,2021,11
Points scale:,GT.B.Stage,2021,11
Parcours type:,p2,2021,11
ProfileScore:,174,2021,11
Vert. meters:,2364,2021,11
Departure:,Perugia,2021,11
Arrival:,Montalcino,2021,11
Race ranking:,12,2021,11
Startlist quality score:,885,2021,11
Won how:,Sprint a deux,2021,11
Date:,20 May 2021,2021,12
Date:,20 May 2021,2021,12
Start time:,11:30 ,2021,12
Date:,20 May 2021,2021,12
Start time:,11:30 ,2021,12
Avg. speed winner:,36.998 km/h,2021,12
Date:,20 May 2021,2021,12
Start time:,11:30 ,2021,12
Avg. speed winner:,36.998 km/h,2021,12
Race category:,ME - Men Elite,2021,12
Date:,20 May 2021,2021,12
