,10-stage,10-gc,10-points,10-kom,11-stage,11-gc,11-points,11-kom,10-youth,11-youth,10-teams,11-teams,team,year
Pozzovivo Domenico,27,7,59,24,15,9,62,28,,,,,Bahrain Merida Pro Cycling Team,2018
Plaza Rubén,28,71,,,13,55,,29,,,,,Israel Cycling Academy,2018
Białobłocki Marcin,29,188,48,41,168,184,48,45,,,,,,2018
Siutsou Kanstantsin,30,29,47,,47,30,47,,,,,,Bahrain Merida Pro Cycling Team,2018
Keizer Martijn,31,139,,,114,131,,,,,,,,2018
Puccio Salvatore,32,59,69,,89,67,73,,,,,,Team Sky,2018
Bak Lars Ytting,33,94,85,,130,106,91,,,,,,Lotto Fix All,2018
De Clercq Bart,34,83,64,,48,72,66,,,,,,,2018
Gonçalves José,35,77,,,67,70,,,,,,,Team Katusha Alpecin,2018
Mendes José,36,48,,,49,46,,,,,,,,2018
Bennati Daniele,37,127,,,115,122,,,,,,,,2018
Landa Mikel,38,42,,,81,51,57,19,,,,,,2018
Formolo Davide,39,13,82,,27,13,83,,2,2,,,BORA - hansgrohe,2018
Ten Dam Laurens,40,38,,,26,34,,,,,,,Team Sunweb,2018
Schlegel Michal,41,69,,,42,59,,,14,11,,,,2018
Samoilau Branislau,42,135,,39,77,109,,44,,,,,,2018
Van Garderen Tejay,43,17,,,109,35,,,,,,,,2018
Quinziato Manuel,44,137,,,139,141,,,,,,,,2018
Roy Jérémy,45,70,,,92,75,,,,,,,Groupama - FDJ,2018
Fraile Omar,46,104,53,13,1,80,27,2,,,,,,2018
Teklehaimanot Daniel,47,120,6,4,142,126,6,5,,,,,,2018
Morabito Steve,48,49,,,69,53,,,,,,,Groupama - FDJ,2018
Stetina Peter,49,27,,,61,32,,,,,,,,2018
Battaglin Enrico,50,60,19,,103,69,18,,,,,,Team LottoNL-Jumbo,2018
Rosa Diego,51,58,,,80,64,,,,,,,,2018
Henao Sebastián,52,62,,,71,60,,,12,12,,,,2018
Ventoso Francisco José,53,90,84,,116,96,89,,,,,,BMC Racing Team,2018
Janse Van Rensburg Jacques,54,43,60,8,54,40,64,11,,,,,Team Dimension Data,2018
Izagirre Gorka,55,39,28,,72,43,28,,,,,,,2018
Rodríguez Cristián,56,26,,,43,26,,,6,6,,,,2018
Villella Davide,57,102,65,17,83,94,67,21,,,,,Astana Pro Team,2018
Owsian Łukasz,58,128,51,,78,103,54,,,,,,,2018
Gasparotto Enrico,59,86,,,66,82,,,,,,,,2018
Van Den Broeck Jurgen,60,92,,,102,93,,,,,,,,2018
Tankink Bram,61,73,,,62,63,,,,,,,,2018
Bernard Julien,62,55,,,63,57,,,11,10,,,,2018
Edmondson Alex,63,154,,,182,164,,,34,35,,,,2018
Rojas José Joaquín,64,54,,,38,47,,38,,,,,,2018
Gastauer Ben,65,41,,,52,38,,,,,,,,2018
Anacona Winner,66,35,,,21,33,,,,,,,,2018
Konrad Patrick,67,31,83,,35,28,86,,,,,,BORA - hansgrohe,2018
Haga Chad,68,68,,,110,81,,,,,,,Team Sunweb,2018
Gibbons Ryan,69,109,15,,143,120,14,,24,27,,,Team Dimension Data,2018
Juul-jensen Christopher,70,148,79,,91,124,78,,,,,,Mitchelton-Scott,2018
Dillier Silvan,71,76,8,21,59,66,8,25,,,,,,2018
De Plus Laurens,72,34,,,10,27,85,6,8,7,,,,2018
Shalunov Evgeny,73,173,21,23,155,169,20,27,40,38,,,,2018
Tsatevich Alexey,74,138,41,,149,142,40,,,,,,,2018
Vaugrenard Benoît,75,100,,,111,101,,,,,,,,2018
Montaguti Matteo,76,44,56,34,16,37,59,37,,,,,AG2R La Mondiale,2018
Greipel André,77,140,3,,134,143,3,,,,,,,2018
Boaro Manuele,78,74,,38,94,76,,43,,,,,Bahrain Merida Pro Cycling Team,2018
De La Parte Víctor,79,63,,,79,62,,,,,,,Movistar Team,2018
