,rider,team,year,age,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target
729,De Buyst Jasper,Lotto Soudal,2019,25,2095,De Buyst Jasper-2019,166.0,30.0,241.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,70.0
730,Vanendert Jelle,Lotto Soudal,2019,34,2095,Vanendert Jelle-2019,245.0,,41.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,20.0
731,Boivin Guillaume,Israel Cycling Academy,2019,29,1292,Boivin Guillaume-2019,220.0,61.0,221.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,44.0,16.0
732,Sbaragli Kristian,Israel Cycling Academy,2019,29,1292,Sbaragli Kristian-2019,175.0,43.0,148.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,78.0,26.0
733,Neilands Krists,Israel Cycling Academy,2019,24,1292,Neilands Krists-2019,190.0,41.0,,16.0,2.9523809523809526,138.1904761904762,2478.0476190476193,0.0,32.0
734,Cimolai Davide,Israel Cycling Academy,2019,29,1292,Cimolai Davide-2019,62.0,15.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,217.0
735,Plaza Rubén,Israel Cycling Academy,2019,39,1292,Plaza Rubén-2019,21.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,44.0,36.0
736,Gebremedhin Awet,Israel Cycling Academy,2019,27,1292,Gebremedhin Awet-2019,15.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,0.0
737,Dunne Conor,Israel Cycling Academy,2019,27,1292,Dunne Conor-2019,15.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,2.0
738,Niv Guy,Israel Cycling Academy,2019,25,1292,Niv Guy-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,0.0,0.0
739,Simion Paolo,Bardiani - CSF,2019,26,446,Simion Paolo-2019,51.0,40.0,312.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,108.0,66.0
740,Carboni Giovanni,Bardiani - CSF,2019,23,446,Carboni Giovanni-2019,12.0,38.0,36.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,146.0
741,Rota Lorenzo,Bardiani - CSF,2019,23,446,Rota Lorenzo-2019,,36.0,70.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,30.0
742,Maestri Mirco,Bardiani - CSF,2019,27,446,Maestri Mirco-2019,26.0,28.0,121.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,22.0,56.0
743,Barbin Enrico,Bardiani - CSF,2019,29,446,Barbin Enrico-2019,,,137.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,75.0,30.0
744,Covili Luca,Bardiani - CSF,2019,22,446,Covili Luca-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,32.0
745,Orsini Umberto,Bardiani - CSF,2019,24,446,Orsini Umberto-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,18.0
746,Senni Manuel,Bardiani - CSF,2019,27,446,Senni Manuel-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,12.0,64.0
748,López Miguel Ángel,Astana Pro Team,2020,26,2840,López Miguel Ángel-2020,,742.0,,169.0,2.8095238095238093,151.0952380952381,2630.904761904762,521.0,544.0
753,Boaro Manuele,Astana Pro Team,2020,33,2840,Boaro Manuele-2020,14.0,48.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,10.0,128.0
756,Tolhoek Antwan,Team Jumbo-Visma,2020,26,742,Tolhoek Antwan-2020,10.0,211.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,76.0
758,Bouwman Koen,Team Jumbo-Visma,2020,26,742,Bouwman Koen-2020,20.0,94.0,,48.0,2.8095238095238093,151.0952380952381,2630.904761904762,10.0,98.0
763,Majka Rafał,BORA - hansgrohe,2020,31,1479,Majka Rafał-2020,101.0,625.0,27.2,172.0,2.8095238095238093,151.0952380952381,2630.904761904762,,386.0
767,Benedetti Cesare,BORA - hansgrohe,2020,33,1479,Benedetti Cesare-2020,50.0,35.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,170.0
770,Poljański Paweł,BORA - hansgrohe,2020,30,1479,Poljański Paweł-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,120.0
771,Ulissi Diego,UAE Team Emirates,2020,31,1982,Ulissi Diego-2020,540.0,550.0,221.0,57.0,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,144.0
772,Dombrowski Joe,UAE Team Emirates,2020,29,1982,Dombrowski Joe-2020,,275.0,,38.0,2.8095238095238093,151.0952380952381,2630.904761904762,0.0,90.0
773,Conti Valerio,UAE Team Emirates,2020,27,1982,Conti Valerio-2020,,220.0,,56.0,2.8095238095238093,151.0952380952381,2630.904761904762,95.0,252.0
777,Gaviria Fernando,UAE Team Emirates,2020,26,1982,Gaviria Fernando-2020,266.0,36.0,818.8,34.0,2.8095238095238093,151.0952380952381,2630.904761904762,,234.0
