team,team_class,team_points,year
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Israel Cycling Academy,PCT,1342,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
