name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Sinkeldam Ramon,134,-,17,-,-,75,2018
Ledanois Kévin,96,-,20,-,-,75,2018
Cousin Jérôme,93,-,23,-,-,75,2018
Zabel Rick,134,-,11,-,-,68,2018
Hepburn Michael,117,-,10,-,-,60,2018
Pöstlberger Lukas,116,-,12,-,-,60,2018
Degand Thomas,34,-,16,-,-,55,2018
Van Keirsbulck Guillaume,123,-,13,-,-,54,2018
Craddock Lawson,124,-,13,-,-,54,2018
Dillier Silvan,59,-,14,-,-,54,2018
Poljański Paweł,80,-,15,-,-,51,2018
Scully Tom,129,-,33,-,-,50,2018
Claeys Dimitri,130,-,56,-,-,50,2018
Le Gac Olivier,127,-,16,-,-,50,2018
Pichon Laurent,98,-,19,-,-,50,2018
Gaudin Damien,140,-,47,-,-,50,2018
Gogl Michael,113,-,16,-,-,50,2018
Minnaard Marco,40,-,23,-,-,50,2018
Grmay Tsgabu,73,-,23,-,-,50,2018
Haga Chad,72,-,17,-,-,50,2018
Roosen Timo,111,-,20,-,-,50,2018
Declercq Tim,127,-,22,-,-,50,2018
Thomson Jay Robert,143,-,74,-,-,25,2018
Hansen Jesper,56,-,18,-,-,25,2018
Domont Axel,68,-,32,-,-,25,2018
Marczyński Tomasz,103,-,58,-,-,25,2018
Tolhoek Antwan,37,-,18,-,-,25,2018
Boswell Ian,79,-,39,-,-,25,2018
Moscon Gianni,84,-,29,-,-,25,2018
Kochetkov Pavel,61,-,35,-,-,25,2018
Sutherland Rory,106,-,47,-,-,25,2018
Troia Oliviero,133,-,53,-,-,25,2018
Bevin Patrick,114,-,24,-,-,25,2018
Howson Damien,88,-,21,-,-,25,2018
Ludvigsson Tobias,74,-,48,-,-,25,2018
Sagan Peter,42,-,1,12,12,4758,2019
Valverde Alejandro,3,-,1,4,4,4135,2019
Nibali Vincenzo,1,1,1,6,6,2990,2019
Quintana Nairo,2,-,1,3,3,2901,2019
Bardet Romain,2,-,1,3,3,2863,2019
Greipel André,123,-,1,11,11,2800,2019
Thomas Geraint,1,1,1,3,3,2444,2019
Mollema Bauke,6,-,1,2,2,2292,2019
Kristoff Alexander,114,-,1,4,4,2283,2019
Boasson Hagen Edvald,53,-,1,3,3,2168,2019
Martin Dan,6,-,1,2,2,2057,2019
Kreuziger Roman,5,-,4,-,-,1975,2019
Urán Rigoberto,2,-,1,1,1,1914,2019
Porte Richie,3,-,2,-,-,1887,2019
Pinot Thibaut,3,-,1,3,3,1838,2019
Alaphilippe Julian,5,-,1,6,6,1678,2019
Landa Mikel,4,-,3,-,-,1610,2019
Van Avermaet Greg,28,-,1,2,2,1550,2019
Barguil Warren,10,-,1,2,2,1377,2019
Matthews Michael,67,-,1,3,3,1310,2019
Van Aert Wout,19,-,1,6,6,1208,2019
Van Garderen Tejay,5,-,2,-,-,1197,2019
Martin Tony,36,-,1,5,5,1175,2019
Kruijswijk Steven,3,-,3,-,-,1146,2019
Roche Nicolas,12,-,2,-,-,1135,2019
Fuglsang Jakob,7,-,2,-,-,1074,2019
Sánchez Luis León,10,-,1,4,4,1063,2019
Groenewegen Dylan,145,-,1,4,4,1051,2019
Kwiatkowski Michał,11,-,1,1,1,1000,2019
Martin Guillaume,8,-,3,-,-,997,2019
Yates Adam,4,-,3,-,-,996,2019
Aru Fabio,5,-,1,1,1,956,2019
Bernal Egan,1,1,4,-,-,942,2019
Ewan Caleb,132,-,1,5,5,880,2019
Trentin Matteo,52,-,1,3,3,859,2019
Gallopin Tony,21,-,1,1,1,858,2019
Caruso Damiano,10,-,4,-,-,847,2019
Mas Enric,5,-,4,-,-,821,2019
Buchmann Emanuel,4,-,3,-,-,814,2019
Colbrelli Sonny,52,-,2,-,-,803,2019
De Gendt Thomas,40,-,1,2,2,764,2019
Costa Rui,18,-,1,3,3,762,2019
Stuyven Jasper,39,-,2,-,-,708,2019
Laporte Christophe,91,-,2,-,-,688,2019
Yates Simon,7,-,1,2,2,656,2019
Lutsenko Alexey,7,-,1,1,1,656,2019
Monfort Maxime,14,-,5,-,-,647,2019
Vuillermoz Alexis,13,-,1,1,1,617,2019
Pauwels Serge,13,-,2,-,-,601,2019
Impey Daryl,38,-,1,1,1,597,2019
Poels Wout,16,-,3,-,-,593,2019
Izagirre Gorka,22,-,2,-,-,561,2019
Oss Daniel,69,-,4,-,-,545,2019
