,rider,team,year,age,race,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target,strength,finished
1515,Ulissi Diego,UAE Team Emirates,2021,,,1562.0,Ulissi Diego-2021,247.0,566.0,181.1,19.0,2.8095238095238093,153.8095238095238,2261.7619047619046,30.0,144.0,42.0,0.5
1057,Sabatini Fabio,Deceuninck - Quick Step,2019,,,4138.0,Sabatini Fabio-2019,20.0,,39.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,243.0,64.0,53.0,0.5
1757,Sabatini Fabio,Cofidis,2021,,,937.0,Sabatini Fabio-2021,8.0,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,243.0,64.0,45.0,0.5
1039,Brambilla Gianluca,Trek - Segafredo,2019,,,2435.0,Brambilla Gianluca-2019,117.0,294.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,70.0,170.0,55.0,0.5
1788,Battaglin Enrico,Bardiani-CSF-Faizanè,2021,,,644.0,Battaglin Enrico-2021,67.0,23.0,87.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,220.0,40.0,89.0,0.5
1606,Brambilla Gianluca,Trek - Segafredo,2021,,,2367.0,Brambilla Gianluca-2021,54.0,87.0,14.7,,2.8095238095238093,153.8095238095238,2261.7619047619046,70.0,170.0,70.0,0.5
1596,Puccio Salvatore,INEOS Grenadiers,2021,,,2917.0,Puccio Salvatore-2021,5.0,28.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,98.0,18.0,45.0,0.5
1137,Gasparotto Enrico,Team Dimension Data,2019,,,1705.0,Gasparotto Enrico-2019,306.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,12.0,57.0,0.5
941,Boaro Manuele,Astana Pro Team,2019,,,4562.0,Boaro Manuele-2019,,28.0,,10.0,2.9523809523809526,138.1904761904762,2478.0476190476193,10.0,128.0,53.0,0.5
966,Amador Andrey,Movistar Team,2019,32.0,tour-de-france,2153.0,Amador Andrey-2019,127.0,105.0,,107.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,136.0,42.0,0.5
1258,Puccio Salvatore,INEOS Grenadiers,2020,,,1676.0,Puccio Salvatore-2020,15.0,54.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,98.0,18.0,47.0,0.4615384615384615
1379,Battaglin Enrico,Bahrain - McLaren,2020,,,717.0,Battaglin Enrico-2020,39.0,55.0,72.2,,2.8095238095238093,151.0952380952381,2630.904761904762,220.0,40.0,36.0,0.4615384615384615
1290,Wyss Danilo,NTT Pro Cycling,2020,,,466.0,Wyss Danilo-2020,10.0,,27.8,,2.8095238095238093,151.0952380952381,2630.904761904762,,8.0,36.0,0.4615384615384615
1236,Ulissi Diego,UAE Team Emirates,2020,,,1982.0,Ulissi Diego-2020,540.0,550.0,221.0,57.0,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,144.0,53.0,0.4615384615384615
1474,Frapporti Marco,Vini Zabù - KTM,2020,,,581.0,Frapporti Marco-2020,,23.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,23.0,74.0,0.4615384615384615
318,Gasparotto Enrico,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Gasparotto Enrico-2017,442.0,,82.4,38.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,12.0,53.0,0.4545454545454545
674,Boaro Manuele,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Boaro Manuele-2018,,45.0,,18.0,3.142857142857143,135.47619047619048,2437.4761904761904,10.0,128.0,51.0,0.4545454545454545
826,Sabatini Fabio,Quick-Step Floors,2018,,,3559.0,Sabatini Fabio-2018,15.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,243.0,64.0,43.0,0.4545454545454545
301,Amador Andrey,Movistar Team,2017,30.0,tour-de-france,3999.0,Amador Andrey-2017,37.0,180.0,85.0,202.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,136.0,54.0,0.4545454545454545
778,Brambilla Gianluca,Trek - Segafredo,2018,,,1747.0,Brambilla Gianluca-2018,134.0,33.0,44.0,,3.142857142857143,135.47619047619048,2437.4761904761904,70.0,170.0,47.0,0.4545454545454545
378,Nizzolo Giacomo,Trek - Segafredo,2017,,,2941.0,Nizzolo Giacomo-2017,713.0,140.0,1074.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,,124.0,44.0,0.4545454545454545
1531,Nieve Mikel,Team BikeExchange,2021,,,1263.0,Nieve Mikel-2021,,268.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,315.0,144.0,40.0,0.4285714285714285
1532,Kangert Tanel,Team BikeExchange,2021,,,1263.0,Kangert Tanel-2021,111.0,165.0,11.0,146.0,2.8095238095238093,153.8095238095238,2261.7619047619046,54.0,134.0,40.0,0.4285714285714285
1006,Ulissi Diego,UAE Team Emirates,2019,,,3489.0,Ulissi Diego-2019,230.0,477.0,123.0,58.0,2.9523809523809526,138.1904761904762,2478.0476190476193,30.0,144.0,57.0,0.4166666666666667
1029,Knees Christian,Team INEOS,2019,,,2042.0,Knees Christian-2019,23.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,98.0,42.0,28.0,0.4166666666666667
1028,Puccio Salvatore,Team INEOS,2019,,,2042.0,Puccio Salvatore-2019,16.0,55.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,98.0,18.0,28.0,0.4166666666666667
1134,Nizzolo Giacomo,Team Dimension Data,2019,30.0,tour-de-france,1705.0,Nizzolo Giacomo-2019,210.0,23.0,676.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,124.0,57.0,0.4166666666666667
1135,Wyss Danilo,Team Dimension Data,2019,,,1705.0,Wyss Danilo-2019,20.0,,60.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,8.0,57.0,0.4166666666666667
922,Nieve Mikel,Mitchelton-Scott,2019,,,3354.0,Nieve Mikel-2019,100.0,206.0,,16.0,2.9523809523809526,138.1904761904762,2478.0476190476193,315.0,144.0,53.0,0.4166666666666667
1122,Ventoso Francisco José,CCC Team,2019,,,1152.0,Ventoso Francisco José-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,42.0,2.0,36.0,0.4166666666666667
1106,Battaglin Enrico,Team Katusha Alpecin,2019,,,1799.0,Battaglin Enrico-2019,95.0,39.0,221.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,220.0,40.0,58.0,0.4166666666666667
1085,Modolo Sacha,EF Education First,2019,,,1626.0,Modolo Sacha-2019,179.0,25.0,465.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,305.0,28.0,36.0,0.4166666666666667
1099,Frapporti Marco,Androni Giocattoli - Sidermec,2019,,,2502.0,Frapporti Marco-2019,32.0,20.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,30.0,23.0,92.0,0.4166666666666667
1333,Haga Chad,Team Sunweb,2020,,,1708.0,Haga Chad-2020,18.0,53.0,,333.0,2.8095238095238093,151.0952380952381,2630.904761904762,52.0,90.0,51.0,0.3846153846153846
1411,Gastauer Ben,AG2R La Mondiale,2020,,,735.0,Gastauer Ben-2020,,,,16.0,2.8095238095238093,151.0952380952381,2630.904761904762,,28.0,34.0,0.3846153846153846
1362,Kangert Tanel,EF Pro Cycling,2020,,,736.0,Kangert Tanel-2020,30.0,220.0,,288.0,2.8095238095238093,151.0952380952381,2630.904761904762,54.0,134.0,30.0,0.3846153846153846
624,Puccio Salvatore,Team Sky,2018,,,4577.0,Puccio Salvatore-2018,23.0,60.0,,13.0,3.142857142857143,135.47619047619048,2437.4761904761904,98.0,18.0,60.0,0.3636363636363636
628,Knees Christian,Team Sky,2018,,,4577.0,Knees Christian-2018,18.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,98.0,42.0,60.0,0.3636363636363636
709,Kangert Tanel,Astana Pro Team,2018,31.0,tour-de-france,3870.0,Kangert Tanel-2018,,,,15.0,3.142857142857143,135.47619047619048,2437.4761904761904,54.0,134.0,58.0,0.3636363636363636
636,Nieve Mikel,Mitchelton-Scott,2018,34.0,tour-de-france,3123.0,Nieve Mikel-2018,84.0,336.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,315.0,144.0,55.0,0.3636363636363636
442,Kangert Tanel,Astana Pro Team,2017,,,1765.0,Kangert Tanel-2017,176.0,418.0,,48.0,2.9523809523809526,134.28571428571428,2570.6190476190477,54.0,134.0,33.0,0.3636363636363636
364,Modolo Sacha,UAE Team Emirates,2017,,,2871.0,Modolo Sacha-2017,78.0,61.0,659.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,305.0,28.0,56.0,0.3636363636363636
730,Ulissi Diego,UAE Team Emirates,2018,,,3589.0,Ulissi Diego-2018,634.0,525.0,278.0,73.0,3.142857142857143,135.47619047619048,2437.4761904761904,30.0,144.0,60.0,0.3636363636363636
749,Battaglin Enrico,Team LottoNL-Jumbo,2018,,,2138.0,Battaglin Enrico-2018,122.0,39.0,159.2,,3.142857142857143,135.47619047619048,2437.4761904761904,220.0,40.0,45.0,0.3636363636363636
794,Modolo Sacha,Team EF Education First-Drapac p/b Cannondale,2018,,,1784.0,Modolo Sacha-2018,314.0,30.0,588.6,,3.142857142857143,135.47619047619048,2437.4761904761904,305.0,28.0,47.0,0.3636363636363636
861,Frapporti Marco,Androni Giocattoli - Sidermec,2018,,,1751.0,Frapporti Marco-2018,117.0,,,21.0,3.142857142857143,135.47619047619048,2437.4761904761904,30.0,23.0,92.0,0.3636363636363636
875,Ventoso Francisco José,BMC Racing Team,2018,,,2887.0,Ventoso Francisco José-2018,47.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,42.0,2.0,42.0,0.3636363636363636
315,Boaro Manuele,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Boaro Manuele-2017,,90.0,,192.0,2.9523809523809526,134.28571428571428,2570.6190476190477,10.0,128.0,53.0,0.3636363636363636
1667,Villella Davide,Movistar Team,2021,,,1241.0,Villella Davide-2021,47.0,32.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,54.0,102.0,47.0,0.3571428571428571
1517,Dombrowski Joe,UAE Team Emirates,2021,,,1562.0,Dombrowski Joe-2021,,20.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,0.0,90.0,42.0,0.3571428571428571
1685,Nizzolo Giacomo,Team Qhubeka ASSOS,2021,,,1654.0,Nizzolo Giacomo-2021,433.0,5.0,533.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,,124.0,75.0,0.3571428571428571
1752,Viviani Elia,Cofidis,2021,,,937.0,Viviani Elia-2021,129.0,50.0,304.4,,2.8095238095238093,153.8095238095238,2261.7619047619046,743.0,178.0,45.0,0.3571428571428571
1516,Formolo Davide,UAE Team Emirates,2021,28.0,tour-de-france,1562.0,Formolo Davide-2021,178.0,69.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,286.0,312.0,42.0,0.3571428571428571
1504,Serry Pieter,Deceuninck - Quick Step,2021,,,3038.0,Serry Pieter-2021,28.0,33.0,,23.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,62.0,43.0,0.3571428571428571
1654,Benedetti Cesare,BORA - hansgrohe,2021,,,2007.0,Benedetti Cesare-2021,13.0,25.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,30.0,170.0,45.0,0.3571428571428571
1783,Gavazzi Francesco,EOLO-Kometa,2021,,,124.0,Gavazzi Francesco-2021,24.0,,9.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,64.0,66.0,66.0,0.3571428571428571
1149,Ludvigsson Tobias,Groupama - FDJ,2019,,,2421.0,Ludvigsson Tobias-2019,16.0,40.0,,45.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,118.0,55.0,0.3333333333333333
990,Formolo Davide,BORA - hansgrohe,2019,,,3674.0,Formolo Davide-2019,115.0,480.0,,20.0,2.9523809523809526,138.1904761904762,2478.0476190476193,286.0,312.0,42.0,0.3333333333333333
1153,Konovalovas Ignatas,Groupama - FDJ,2019,,,2421.0,Konovalovas Ignatas-2019,75.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,52.0,55.0,0.3333333333333333
952,Haga Chad,Team Sunweb,2019,30.0,tour-de-france,3763.0,Haga Chad-2019,15.0,66.0,,146.0,2.9523809523809526,138.1904761904762,2478.0476190476193,52.0,90.0,57.0,0.3333333333333333
1081,Kangert Tanel,EF Education First,2019,32.0,tour-de-france,1626.0,Kangert Tanel-2019,27.0,237.0,,76.0,2.9523809523809526,138.1904761904762,2478.0476190476193,54.0,134.0,36.0,0.3333333333333333
1007,Polanc Jan,UAE Team Emirates,2019,,,3489.0,Polanc Jan-2019,44.0,154.0,,10.0,2.9523809523809526,138.1904761904762,2478.0476190476193,32.0,200.0,57.0,0.3333333333333333
1097,Gavazzi Francesco,Androni Giocattoli - Sidermec,2019,,,2502.0,Gavazzi Francesco-2019,266.0,48.0,229.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,64.0,66.0,92.0,0.3333333333333333
1072,Gastauer Ben,AG2R La Mondiale,2019,,,1486.0,Gastauer Ben-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,28.0,36.0,0.3333333333333333
1027,Henao Sebastián,Team INEOS,2019,,,2042.0,Henao Sebastián-2019,17.0,70.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,46.0,28.0,0.3333333333333333
1052,Viviani Elia,Deceuninck - Quick Step,2019,30.0,tour-de-france,4138.0,Viviani Elia-2019,893.0,198.0,1666.4,,2.9523809523809526,138.1904761904762,2478.0476190476193,743.0,178.0,53.0,0.3333333333333333
1301,Serry Pieter,Deceuninck - Quick Step,2020,,,1415.0,Serry Pieter-2020,98.0,57.0,44.6,,2.8095238095238093,151.0952380952381,2630.904761904762,,62.0,36.0,0.3076923076923077
1226,Benedetti Cesare,BORA - hansgrohe,2020,,,1479.0,Benedetti Cesare-2020,50.0,35.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,170.0,45.0,0.3076923076923077
1237,Dombrowski Joe,UAE Team Emirates,2020,,,1982.0,Dombrowski Joe-2020,,275.0,,38.0,2.8095238095238093,151.0952380952381,2630.904761904762,0.0,90.0,53.0,0.3076923076923077
1424,Viviani Elia,Cofidis,2020,31.0,tour-de-france,847.0,Viviani Elia-2020,901.0,43.0,1478.0,23.0,2.8095238095238093,151.0952380952381,2630.904761904762,743.0,178.0,49.0,0.3076923076923077
1222,Majka Rafał,BORA - hansgrohe,2020,,,1479.0,Majka Rafał-2020,101.0,625.0,27.2,172.0,2.8095238095238093,151.0952380952381,2630.904761904762,,386.0,45.0,0.3076923076923077
1484,Konovalovas Ignatas,Groupama - FDJ,2020,,,941.0,Konovalovas Ignatas-2020,16.0,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,52.0,34.0,0.3076923076923077
1449,Villella Davide,Movistar Team,2020,,,365.0,Villella Davide-2020,127.0,152.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,54.0,102.0,38.0,0.3076923076923077
1544,Landa Mikel,Bahrain - Victorious,2021,,,3186.0,Landa Mikel-2021,47.0,528.0,81.0,45.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,376.0,77.0,0.2857142857142857
1714,Bidard François,AG2R Citroën Team,2021,,,1038.0,Bidard François-2021,,23.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,0.0,75.0,38.0,0.2857142857142857
1518,Conti Valerio,UAE Team Emirates,2021,,,1562.0,Conti Valerio-2021,92.0,20.0,86.0,14.0,2.8095238095238093,153.8095238095238,2261.7619047619046,95.0,252.0,42.0,0.2857142857142857
1545,Bilbao Pello,Bahrain - Victorious,2021,31.0,tour-de-france,3186.0,Bilbao Pello-2021,54.0,417.0,109.1,228.0,2.8095238095238093,153.8095238095238,2261.7619047619046,308.0,282.0,77.0,0.2857142857142857
1546,Caruso Damiano,Bahrain - Victorious,2021,,,3186.0,Caruso Damiano-2021,160.0,206.0,87.5,122.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,202.0,77.0,0.2857142857142857
1726,De Gendt Thomas,Lotto Soudal,2021,34.0,tour-de-france,1522.0,De Gendt Thomas-2021,,70.0,,262.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,112.0,53.0,0.2857142857142857
348,Henao Sebastián,Team Sky,2017,,,2722.0,Henao Sebastián-2017,30.0,187.0,,41.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,46.0,40.0,0.2727272727272727
351,Puccio Salvatore,Team Sky,2017,,,2722.0,Puccio Salvatore-2017,44.0,55.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,98.0,18.0,40.0,0.2727272727272727
820,Viviani Elia,Quick-Step Floors,2018,,,3559.0,Viviani Elia-2018,837.0,219.0,1162.5,21.0,3.142857142857143,135.47619047619048,2437.4761904761904,743.0,178.0,43.0,0.2727272727272727
462,Gastauer Ben,AG2R La Mondiale,2017,29.0,tour-de-france,1603.0,Gastauer Ben-2017,49.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,28.0,32.0,0.2727272727272727
856,Gavazzi Francesco,Androni Giocattoli - Sidermec,2018,,,1751.0,Gavazzi Francesco-2018,349.0,120.0,245.5,,3.142857142857143,135.47619047619048,2437.4761904761904,64.0,66.0,92.0,0.2727272727272727
333,Ludvigsson Tobias,FDJ,2017,,,1979.0,Ludvigsson Tobias-2017,,67.0,,341.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,118.0,53.0,0.2727272727272727
760,Formolo Davide,BORA - hansgrohe,2018,,,2420.0,Formolo Davide-2018,17.0,330.0,,18.0,3.142857142857143,135.47619047619048,2437.4761904761904,286.0,312.0,51.0,0.2727272727272727
511,Battaglin Enrico,Team LottoNL-Jumbo,2017,,,2117.0,Battaglin Enrico-2017,57.0,35.0,79.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,220.0,40.0,49.0,0.2727272727272727
480,Ventoso Francisco José,BMC Racing Team,2017,,,3840.0,Ventoso Francisco José-2017,42.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,42.0,2.0,56.0,0.2727272727272727
662,Haga Chad,Team Sunweb,2018,29.0,tour-de-france,2736.0,Haga Chad-2018,,55.0,,128.0,3.142857142857143,135.47619047619048,2437.4761904761904,52.0,90.0,47.0,0.2727272727272727
731,Polanc Jan,UAE Team Emirates,2018,,,3589.0,Polanc Jan-2018,35.0,219.0,57.5,60.0,3.142857142857143,135.47619047619048,2437.4761904761904,32.0,200.0,60.0,0.2727272727272727
979,Caruso Damiano,Bahrain Merida,2019,31.0,tour-de-france,2657.0,Caruso Damiano-2019,65.0,458.0,,91.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,202.0,45.0,0.25
1084,Brown Nathan,EF Education First,2019,,,1626.0,Brown Nathan-2019,10.0,58.0,,51.0,2.9523809523809526,138.1904761904762,2478.0476190476193,0.0,6.0,36.0,0.25
924,Chaves Esteban,Mitchelton-Scott,2019,,,3354.0,Chaves Esteban-2019,,120.0,64.0,38.0,2.9523809523809526,138.1904761904762,2478.0476190476193,445.0,106.0,53.0,0.25
1181,Sbaragli Kristian,Israel Cycling Academy,2019,,,1292.0,Sbaragli Kristian-2019,175.0,43.0,148.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,78.0,26.0,58.0,0.25
928,Bookwalter Brent,Mitchelton-Scott,2019,,,3354.0,Bookwalter Brent-2019,20.0,,,157.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,12.0,53.0,0.25
1082,Dombrowski Joe,EF Education First,2019,,,1626.0,Dombrowski Joe-2019,,165.0,,74.0,2.9523809523809526,138.1904761904762,2478.0476190476193,0.0,90.0,36.0,0.25
937,Villella Davide,Astana Pro Team,2019,,,4562.0,Villella Davide-2019,49.0,177.0,38.8,,2.9523809523809526,138.1904761904762,2478.0476190476193,54.0,102.0,53.0,0.25
1053,Serry Pieter,Deceuninck - Quick Step,2019,,,4138.0,Serry Pieter-2019,200.0,143.0,80.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,62.0,53.0,0.25
1013,Marcato Marco,UAE Team Emirates,2019,,,3489.0,Marcato Marco-2019,61.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,46.0,118.0,57.0,0.25
964,Landa Mikel,Movistar Team,2019,29.0,tour-de-france,2153.0,Landa Mikel-2019,20.0,636.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,376.0,42.0,0.25
992,Benedetti Cesare,BORA - hansgrohe,2019,,,3674.0,Benedetti Cesare-2019,22.0,84.0,41.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,30.0,170.0,42.0,0.25
991,Majka Rafał,BORA - hansgrohe,2019,,,3674.0,Majka Rafał-2019,127.0,457.0,36.4,63.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,386.0,42.0,0.25
1191,Barbin Enrico,Bardiani - CSF,2019,,,446.0,Barbin Enrico-2019,,,137.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,75.0,30.0,66.0,0.25
1008,Conti Valerio,UAE Team Emirates,2019,,,3489.0,Conti Valerio-2019,,152.0,,44.0,2.9523809523809526,138.1904761904762,2478.0476190476193,95.0,252.0,57.0,0.25
955,Bakelants Jan,Team Sunweb,2019,,,3763.0,Bakelants Jan-2019,73.0,31.0,34.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,48.0,57.0,0.25
1107,Kuznetsov Viacheslav,Team Katusha Alpecin,2019,,,1799.0,Kuznetsov Viacheslav-2019,100.0,,105.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,64.0,54.0,58.0,0.25
1184,Plaza Rubén,Israel Cycling Academy,2019,,,1292.0,Plaza Rubén-2019,21.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,44.0,36.0,58.0,0.25
1102,Navarro Daniel,Team Katusha Alpecin,2019,,,1799.0,Navarro Daniel-2019,17.0,240.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,10.0,58.0,0.25
1238,Conti Valerio,UAE Team Emirates,2020,,,1982.0,Conti Valerio-2020,,220.0,,56.0,2.8095238095238093,151.0952380952381,2630.904761904762,95.0,252.0,53.0,0.2307692307692307
1316,De Gendt Thomas,Lotto Soudal,2020,33.0,tour-de-france,495.0,De Gendt Thomas-2020,,86.0,,419.0,2.8095238095238093,151.0952380952381,2630.904761904762,,112.0,36.0,0.2307692307692307
1268,Ciccone Giulio,Trek - Segafredo,2020,,,1339.0,Ciccone Giulio-2020,177.0,164.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,162.0,433.0,38.0,0.2307692307692307
1408,Bidard François,AG2R La Mondiale,2020,,,735.0,Bidard François-2020,37.0,80.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,0.0,75.0,34.0,0.2307692307692307
1437,Navarro Daniel,Israel Start-Up Nation,2020,,,583.0,Navarro Daniel-2020,,42.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,10.0,40.0,0.2307692307692307
1397,Zakarin Ilnur,CCC Team,2020,30.0,tour-de-france,1016.0,Zakarin Ilnur-2020,28.0,,,84.0,2.8095238095238093,151.0952380952381,2630.904761904762,,157.0,57.0,0.2307692307692307
1351,Bookwalter Brent,Mitchelton-Scott,2020,,,1737.0,Bookwalter Brent-2020,30.0,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,12.0,57.0,0.2307692307692307
1376,Bilbao Pello,Bahrain - McLaren,2020,30.0,tour-de-france,717.0,Bilbao Pello-2020,26.0,237.0,48.8,313.0,2.8095238095238093,151.0952380952381,2630.904761904762,308.0,282.0,36.0,0.2307692307692307
1781,Belletti Manuel,EOLO-Kometa,2021,,,124.0,Belletti Manuel-2021,30.0,,119.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,154.0,164.0,66.0,0.2142857142857142
1609,Ciccone Giulio,Trek - Segafredo,2021,,,2367.0,Ciccone Giulio-2021,308.0,10.0,85.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,162.0,433.0,70.0,0.2142857142857142
1640,Martens Paul,Team Jumbo-Visma,2021,,,1045.0,Martens Paul-2021,25.0,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,82.0,32.0,0.2142857142857142
1664,Pedrero Antonio,Movistar Team,2021,,,1241.0,Pedrero Antonio-2021,,80.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,58.0,158.0,47.0,0.2142857142857142
1618,Carthy Hugh,EF Education - Nippo,2021,,,1601.0,Carthy Hugh-2021,,350.0,,110.0,2.8095238095238093,153.8095238095238,2261.7619047619046,0.0,257.0,66.0,0.2142857142857142
1766,Hirt Jan,Intermarché - Wanty - Gobert Matériaux,2021,,,620.0,Hirt Jan-2021,25.0,54.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,54.0,152.0,42.0,0.2142857142857142
1605,Mollema Bauke,Trek - Segafredo,2021,34.0,tour-de-france,2367.0,Mollema Bauke-2021,120.0,102.0,24.5,,2.8095238095238093,153.8095238095238,2261.7619047619046,,346.0,70.0,0.2142857142857142
1501,Masnada Fausto,Deceuninck - Quick Step,2021,,,3038.0,Masnada Fausto-2021,29.0,325.0,20.0,5.0,2.8095238095238093,153.8095238095238,2261.7619047619046,20.0,291.0,43.0,0.2142857142857142
1559,Denz Nico,Team DSM,2021,,,1652.0,Denz Nico-2021,20.0,95.0,74.0,64.0,2.8095238095238093,153.8095238095238,2261.7619047619046,54.0,48.0,58.0,0.2142857142857142
1560,Hamilton Chris,Team DSM,2021,,,1652.0,Hamilton Chris-2021,5.0,67.0,,12.0,2.8095238095238093,153.8095238095238,2261.7619047619046,24.0,34.0,58.0,0.2142857142857142
1709,Vendrame Andrea,AG2R Citroën Team,2021,,,1038.0,Vendrame Andrea-2021,211.0,93.0,230.4,,2.8095238095238093,153.8095238095238,2261.7619047619046,25.0,98.0,38.0,0.2142857142857142
708,Villella Davide,Astana Pro Team,2018,,,3870.0,Villella Davide-2018,101.0,53.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,54.0,102.0,58.0,0.1818181818181818
393,Haga Chad,Team Sunweb,2017,,,2929.0,Haga Chad-2017,15.0,49.0,,88.0,2.9523809523809526,134.28571428571428,2570.6190476190477,52.0,90.0,56.0,0.1818181818181818
637,Chaves Esteban,Mitchelton-Scott,2018,,,3123.0,Chaves Esteban-2018,,274.0,42.8,,3.142857142857143,135.47619047619048,2437.4761904761904,445.0,106.0,55.0,0.1818181818181818
737,Marcato Marco,UAE Team Emirates,2018,34.0,tour-de-france,3589.0,Marcato Marco-2018,73.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,46.0,118.0,60.0,0.1818181818181818
426,Serry Pieter,Quick-Step Floors,2017,,,3229.0,Serry Pieter-2017,85.0,96.0,,38.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,62.0,30.0,0.1818181818181818
491,Formolo Davide,Cannondale-Drapac Pro Cycling Team,2017,,,2419.0,Formolo Davide-2017,13.0,327.0,,10.0,2.9523809523809526,134.28571428571428,2570.6190476190477,286.0,312.0,51.0,0.1818181818181818
733,Conti Valerio,UAE Team Emirates,2018,,,3589.0,Conti Valerio-2018,84.0,134.0,,22.0,3.142857142857143,135.47619047619048,2437.4761904761904,95.0,252.0,60.0,0.1818181818181818
362,Polanc Jan,UAE Team Emirates,2017,,,2871.0,Polanc Jan-2017,56.0,99.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,32.0,200.0,56.0,0.1818181818181818
347,Landa Mikel,Team Sky,2017,27.0,tour-de-france,2722.0,Landa Mikel-2017,,297.0,,51.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,376.0,40.0,0.1818181818181818
