rider,finished,year
Nizzolo Giacomo,0.35714285714285715,2021
Viviani Elia,0.35714285714285715,2021
Villella Davide,0.35714285714285715,2021
Richeze Maximiliano,0.2857142857142857,2021
Serry Pieter,0.35714285714285715,2021
Nieve Mikel,0.42857142857142855,2021
Hepburn Michael,0.2857142857142857,2021
Conti Valerio,0.2857142857142857,2021
Felline Fabio,0.35714285714285715,2021
Gavazzi Francesco,0.35714285714285715,2021
Benedetti Cesare,0.35714285714285715,2021
Formolo Davide,0.35714285714285715,2021
Meyer Cameron,0.14285714285714285,2021
Landa Mikel,0.2857142857142857,2021
Ciccone Giulio,0.21428571428571427,2021
Keisse Iljo,0.35714285714285715,2021
Juul-Jensen Christopher,0.35714285714285715,2021
Dombrowski Joe,0.35714285714285715,2021
Campenaerts Victor,0.14285714285714285,2021
De Marchi Alessandro,0.2857142857142857,2021
Bilbao Pello,0.2857142857142857,2021
De Gendt Thomas,0.2857142857142857,2021
Roche Nicolas,0.21428571428571427,2021
Caruso Damiano,0.2857142857142857,2021
Bidard François,0.2857142857142857,2021
Brändle Matthias,0.21428571428571427,2021
Denz Nico,0.21428571428571427,2021
Vervaeke Louis,0.0,2021
Mohorič Matej,0.21428571428571427,2021
Ewan Caleb,0.0,2021
Mollema Bauke,0.21428571428571427,2021
Kluge Roger,0.14285714285714285,2021
Sánchez Luis León,0.21428571428571427,2021
Dowsett Alex,0.21428571428571427,2021
Masnada Fausto,0.21428571428571427,2021
Pedrero Antonio,0.21428571428571427,2021
Yates Simon,0.14285714285714285,2021
Reichenbach Sébastien,0.14285714285714285,2021
Martens Paul,0.21428571428571427,2021
Valls Rafael,0.07142857142857142,2021
Carthy Hugh,0.21428571428571427,2021
Gaviria Fernando,0.07142857142857142,2021
Bouwman Koen,0.14285714285714285,2021
Arashiro Yukiya,0.21428571428571427,2021
Vendrame Andrea,0.21428571428571427,2021
Hamilton Chris,0.21428571428571427,2021
Oss Daniel,0.21428571428571427,2021
Bodnar Maciej,0.21428571428571427,2021
Hirt Jan,0.21428571428571427,2021
Warbasse Larry,0.14285714285714285,2021
Izagirre Gorka,0.14285714285714285,2021
Keukeleire Jens,0.14285714285714285,2021
Niv Guy,0.07142857142857142,2021
de Kort Koen,0.14285714285714285,2021
Narváez Jhonatan,0.07142857142857142,2021
Tratnik Jan,0.14285714285714285,2021
Ghebreigzabhier Amanuel,0.14285714285714285,2021
Arndt Nikias,0.14285714285714285,2021
Sepúlveda Eduardo,0.14285714285714285,2021
Castroviejo Jonathan,0.14285714285714285,2021
Petilli Simone,0.14285714285714285,2021
Honoré Mikkel Frølich,0.14285714285714285,2021
Neilands Krists,0.14285714285714285,2021
Lindeman Bert-Jan,0.14285714285714285,2021
Carboni Giovanni,0.14285714285714285,2021
Consonni Simone,0.14285714285714285,2021
Großschartner Felix,0.14285714285714285,2021
Marczyński Tomasz,0.07142857142857142,2021
Knox James,0.07142857142857142,2021
Berhane Natnael,0.14285714285714285,2021
Oliveira Nelson,0.14285714285714285,2021
Frankiny Kilian,0.14285714285714285,2021
Martínez Daniel Felipe,0.07142857142857142,2021
Cimolai Davide,0.14285714285714285,2021
Bennett George,0.14285714285714285,2021
De Buyst Jasper,0.0,2021
Molano Juan Sebastián,0.0,2021
Martin Dan,0.07142857142857142,2021
Mosca Jacopo,0.14285714285714285,2021
Gallopin Tony,0.0,2021
Caicedo Jonathan Klever,0.14285714285714285,2021
Hindley Jai,0.14285714285714285,2021
Cepeda Jefferson Alexander,0.07142857142857142,2021
van Garderen Tejay,0.07142857142857142,2021
Ravasi Edward,0.07142857142857142,2021
Wiśniowski Łukasz,0.07142857142857142,2021
Edet Nicolas,0.0,2021
Valter Attila,0.07142857142857142,2021
Bettiol Alberto,0.07142857142857142,2021
Cavagna Rémi,0.07142857142857142,2021
Sagan Peter,0.07142857142857142,2021
Torres Albert,0.07142857142857142,2021
Affini Edoardo,0.0,2021
Sivakov Pavel,0.07142857142857142,2021
Moschetti Matteo,0.0,2021
Fabbro Matteo,0.07142857142857142,2021
Taaramäe Rein,0.07142857142857142,2021
Pellaud Simon,0.07142857142857142,2021
Ravanelli Simone,0.07142857142857142,2021
Vlasov Aleksandr,0.0,2021
Molard Rudy,0.07142857142857142,2021
Rubio Einer Augusto,0.07142857142857142,2021
Vanhoucke Harm,0.07142857142857142,2021
Almeida João,0.07142857142857142,2021
Ganna Filippo,0.07142857142857142,2021
Fiorelli Filippo,0.07142857142857142,2021
Bouchard Geoffrey,0.07142857142857142,2021
Sobrero Matteo,0.07142857142857142,2021
Albanese Vincenzo,0.0,2021
Guglielmi Simon,0.07142857142857142,2021
Oldani Stefano,0.07142857142857142,2021
Foss Tobias,0.0,2021
Zana Filippo,0.07142857142857142,2021
Guerreiro Ruben,0.07142857142857142,2021
